inputs,response
유튜브 채널 hkcode에서는 무엇을 가르치나요?,"초보자 대상으로 빅데이터, 인공지능과 관련된 컨텐츠를 가르치고 있습니다."
유튜브 채널 hkcode는 누가 운영하나요?,한국폴리텍대학 스마트금융과 김효관 교수가 운영합니다.
스마트금융과는 무엇을 가르치나요?,"스마트금융과는 빅데이터, 인공지능, 웹개발 및 블록체인을 가르치고 있습니다."
스마트금융과 등록비용은 얼마인가요?,등록비용은 국비지원 과정으로 무료 입니다.
스마트금융과는 1년에 몇 명을 선발하나요?,1년에 한반을 운영하고 있고 최대 22명을 선발합니다.
스마트금융과의 취업률은 어떻게되나요?,2025 입학 교육생 기준 취업률은 95% 이상입니다.
스마트금융과는 어디에 위치하나요?,서울시 강서구쪽에 위치하며 지하철 5호선 우장산역에서 걸어서 20분 거리에 위치하고 있습니다.
스마트금융과 IT관련 비전공자도 지원 가능한가요?,가능합니다. 매년 전공자는 2-3명 정도 있으며 수업자체를 아에 IT를 모른다는 가정하에 기초부터 단계별로 학습합니다.
스마트금융과 취업연계 업체가 있나요?,"네 있습니다. 데이터스트림즈, 위세아이텍, 틸론, 솔트웨어, 두리안정보기술 및 KB관련 업체 등과 인연을 맺고 교수 추천 및 미션등을 수행하고 취업하고 있습니다"
스마트금융과는 학과 홈페이지내 트랙에 대한 문의,"학과 홈페이지내 빅데이터, 인공지능, 블록체인, 웹개발 트랙등이 있는데 모든 트랙에 대해서 기초는 모두 학습합니다. 회사와 매핑이 완료되면 업체향 필요 트랙을 더 추가 교육을 하는 부분입니다"
스마트금융과를 수료하면 어떤 포트폴리오가 나오나요?,스마트금융과는 찍어내기식의 포트폴리오가 아니라 매년 업체에서 요구하는 기술 및 주제에 대해서 포트폴리오가 나옵니다. 2024년2월에는 AWS 사용량 예측을 진행하기도 했습니다.
스마트금융과에서는 어떤 포트폴리오가 나오나요?,스마트금융과는 찍어내기식의 포트폴리오가 아니라 매년 업체에서 요구하는 기술 및 주제에 대해서 포트폴리오가 나옵니다. 2024년2월에는 AWS 사용량 예측을 진행하기도 했습니다.
스마트금융과의 최종 아웃풋은 어떤건가요?,스마트금융과는 찍어내기식의 포트폴리오가 아니라 매년 업체에서 요구하는 기술 및 주제에 대해서 포트폴리오가 나옵니다. 2024년2월에는 AWS 사용량 예측을 진행하기도 했습니다.
스마트금융과의 최종 포트폴리오는 어떤건가요?,유튜브 채널에서 스마트금융과를 검색하시면 한국폴리텍대학 스마트금융과 포트폴리오 발표라는 재생목록을 통해 확인할 수 있습니다.
스마트금융과 면접시에는 어떤걸 준비하고 가면 될까요?,영문 타자연습 및 스마트금융과에 대한 열정을 보여주면 좋다
